20,18,15,102,64,20
113,98,85,106,63,113
95,82,70,106,67,95
26,22,19,107,69,26
121,105,91,106,63,121
21,18,15,105,73,21
19,16,14,108,67,19
105,89,78,108,66,105
87,75,63,105,70,87
5,4,3,105,102,5
43,37,33,108,59,43
100,87,78,108,56,100
4,3,3,120,64,4
23,20,17,105,67,23
39,33,29,108,65,39
90,75,69,111,59,90
22,20,17,102,58,22
129,113,100,107,57,129
147,127,117,110,52,147
102,87,81,111,53,102
24,20,19,114,53,24
131,110,102,112,56,131
113,94,89,114,54,113
93,78,73,113,55,93
5,4,4,120,51,5
50,44,39,106,56,50
154,135,123,108,51,154
127,109,100,110,54,127
22,18,17,114,58,22
99,84,77,110,57,99
20,17,15,108,64,20
110,93,83,109,63,110
90,76,70,111,57,90
20,17,16,113,51,20
118,100,91,110,58,118
138,117,109,112,54,138
140,118,110,112,55,140
115,97,90,112,55,115
22,19,17,108,58,22
122,106,95,108,56,122
123,109,96,106,56,123
130,117,103,104,53,130
154,136,123,107,51,154
151,130,121,111,51,151
105,89,85,114,49,105
26,23,21,108,49,26
142,122,113,111,52,142
98,83,78,113,52,98
24,20,18,110,64,24
132,114,101,107,60,132
127,111,101,108,52,127
92,78,72,111,55,92
25,21,20,114,51,25
140,118,110,112,55,140
140,120,112,111,51,140
142,123,112,109,54,142
138,119,109,110,54,138
119,102,93,110,56,119
120,103,97,112,49,120
125,108,103,113,45,125
147,129,122,112,43,147
148,133,124,109,41,148
150,136,125,107,42,150
154,137,126,108,46,154
157,136,127,111,49,157
151,131,122,111,49,151
126,109,101,110,51,126
127,110,103,111,48,127
146,127,117,110,51,146
139,120,111,110,51,139
96,81,75,111,56,96
24,21,18,105,64,24
134,116,100,106,65,134
134,117,104,107,57,134
133,114,104,110,56,133
120,101,95,113,53,120
141,119,114,114,49,141
141,120,113,113,51,141
142,125,113,108,52,142
143,127,116,108,48,143
146,127,118,110,49,146
148,127,122,114,45,148
148,128,126,117,38,148
147,129,129,120,31,147
150,134,132,117,31,150
152,135,130,113,37,152
154,137,128,110,43,154
156,138,128,109,46,156
155,137,127,109,46,155
154,136,124,108,50,154
129,113,104,109,49,129
26,23,21,108,49,26
26,22,21,114,49,26
21,18,17,113,49,21
25,21,19,110,61,25
137,119,104,106,61,137
137,120,107,107,56,137
138,121,109,108,54,138
139,120,113,112,48,139
140,120,116,115,44,140
141,123,117,113,43,141
142,126,118,110,43,142
143,129,121,109,39,143
147,131,123,110,42,147
150,130,127,116,39,150
148,130,129,118,33,148
148,133,131,116,29,148
151,135,132,115,32,151
155,138,132,112,38,155
155,140,130,108,41,155
155,140,132,110,38,155
154,140,132,109,36,154
153,138,128,108,42,153
148,130,121,110,47,148
103,88,83,113,50,103
21,18,17,113,49,21
96,81,76,113,53,96
21,20,16,96,61,21
120,111,90,99,64,120
125,117,96,98,59,125
128,121,102,98,52,128
129,121,106,100,45,129
131,121,107,103,47,131
132,119,107,106,48,132
133,118,107,107,50,133
132,115,106,110,50,132
107,92,85,110,52,107
25,22,19,105,61,25
138,121,108,107,55,138
139,124,110,106,53,139
141,125,110,105,56,141
142,125,113,108,52,142
144,126,117,110,48,144
146,127,121,113,44,146
147,129,124,113,40,147
147,130,127,116,35,147
149,132,129,116,34,149
151,132,130,117,35,151
151,135,131,114,34,151
151,138,131,110,34,151
154,139,131,110,38,154
157,141,131,108,42,157
156,142,131,107,41,156
156,143,135,109,34,156
156,143,137,111,31,156
156,142,133,108,38,156
154,138,129,109,41,154
148,129,124,114,41,148
124,108,104,114,41,124
122,105,99,112,48,122
124,106,99,112,51,124
116,99,96,116,44,116
26,23,20,105,59,26
149,133,112,103,63,149
156,146,119,98,60,156
162,150,124,99,60,162
162,159,129,93,52,162
163,161,133,92,47,163
166,163,137,93,45,166
168,161,138,97,46,168
166,158,137,98,45,166
160,151,130,99,48,160
136,127,108,100,53,136
112,99,87,106,57,112
20,17,15,108,64,20
112,94,86,111,59,112
118,102,94,110,52,118
139,123,114,109,46,139
140,126,116,108,44,140
143,128,118,108,45,143
146,129,120,110,45,146
150,131,122,110,48,150
152,132,125,112,45,152
152,133,128,114,40,152
151,133,132,118,32,151
151,133,135,123,30,151
150,137,132,112,31,150
152,140,130,106,37,152
154,140,133,110,35,154
156,140,135,113,34,156
158,142,136,112,36,158
158,145,137,109,34,158
157,146,139,108,29,157
159,146,140,111,30,159
159,145,137,109,35,159
155,143,134,107,35,155
152,140,132,108,34,152
152,137,130,110,37,152
150,134,124,108,44,150
146,131,120,107,45,146
138,123,117,111,39,138
99,84,82,116,44,99
20,17,16,113,51,20
118,102,93,109,54,118
144,128,114,106,53,144
151,139,120,102,52,151
157,151,124,95,54,157
159,160,129,89,49,160
163,166,137,87,45,166
168,170,143,88,41,170
172,172,145,90,40,172
172,172,145,90,40,172
172,172,142,90,44,172
171,169,140,92,46,171
165,161,137,94,43,165
140,133,118,100,40,140
139,128,112,102,50,139
114,103,88,103,58,114
25,21,19,110,61,25
139,118,108,110,57,139
140,123,113,109,49,140
143,127,119,110,43,143
145,130,124,111,37,145
148,131,127,114,36,148
151,131,127,115,41,151
153,134,126,111,45,153
155,136,129,112,43,155
154,138,131,111,38,154
153,140,136,113,28,153
153,140,139,118,23,153
154,140,133,110,35,154
155,142,128,104,44,155
157,142,135,110,36,157
158,142,140,117,29,158
159,143,142,118,27,159
160,148,143,111,27,160
160,151,142,105,29,160
162,149,142,110,31,162
163,148,140,110,36,163
160,147,138,108,35,160
158,146,136,106,36,158
157,143,134,108,37,157
155,140,128,107,44,155
152,137,124,106,47,152
151,134,124,109,46,151
125,109,101,110,49,125
4,4,3,90,64,4
25,21,20,114,51,25
47,41,36,106,60,47
143,128,109,103,61,143
149,138,115,100,58,149
155,147,120,97,58,155
162,155,128,96,54,162
168,161,135,96,50,168
174,168,139,95,51,174
177,174,142,93,50,177
178,177,141,91,53,178
176,177,142,89,50,177
174,172,145,92,43,174
175,175,147,90,41,175
176,172,143,94,48,176
173,164,136,97,55,173
149,138,117,100,55,149
145,134,117,102,49,145
116,106,94,104,48,116
20,17,14,105,77,20
110,95,81,106,67,110
110,96,83,106,63,110
113,97,85,107,63,113
119,101,94,112,54,119
141,120,113,113,51,141
142,126,117,109,45,142
147,131,122,109,43,147
150,134,129,113,36,150
152,137,134,115,30,152
154,138,132,112,36,154
156,138,130,111,42,156
156,139,134,113,36,156
155,140,136,114,31,155
154,142,138,113,26,154
156,142,139,115,28,156
157,145,135,106,36,157
158,147,133,103,40,158
159,146,139,110,32,159
159,144,144,120,24,159
159,146,145,118,22,159
161,149,146,114,24,161
162,155,147,104,24,162
165,155,148,108,26,165
167,153,147,111,31,167
166,151,147,114,29,166
164,150,145,112,30,164
162,149,141,109,33,162
160,146,136,108,38,160
160,142,131,109,46,160
159,138,130,112,47,159
154,131,125,114,48,154
106,92,86,111,48,106
23,20,18,108,55,23
106,92,84,109,53,106
5,4,3,105,102,5
45,39,34,106,62,45
134,117,103,106,59,134
142,125,110,106,57,142
149,132,117,106,55,149
157,144,123,101,55,157
164,154,130,99,53,164
168,160,136,98,49,168
170,165,139,95,47,170
171,169,142,92,43,171
172,171,147,91,37,172
175,177,150,88,39,177
179,179,151,90,40,179
182,174,151,98,43,182
185,176,153,98,44,185
181,176,154,96,38,181
173,170,149,94,35,173
149,144,128,97,36,149
149,141,125,100,41,149
149,141,122,99,46,149
148,139,121,100,47,148
147,134,119,104,49,147
119,106,97,108,47,119
25,21,18,107,71,25
137,119,102,105,65,137
137,120,103,105,63,137
141,120,105,107,65,141
143,121,113,112,53,143
144,124,119,114,44,144
145,129,121,110,42,145
150,134,124,108,44,150
153,137,134,115,32,153
156,141,141,120,25,156
158,144,136,109,36,158
158,142,133,109,40,158
158,141,138,116,32,158
157,142,142,120,24,157
155,142,139,114,26,155
158,145,137,109,34,158
160,148,138,106,35,160
160,149,139,106,33,160
160,150,144,109,26,160
162,149,148,118,22,162
162,149,147,116,24,162
164,154,147,108,26,164
165,158,151,105,22,165
168,157,154,114,21,168
170,156,156,120,21,170
170,156,156,120,21,170
169,156,154,116,23,169
166,154,150,113,25,166
162,151,143,107,30,162
162,145,137,110,39,162
162,141,136,114,41,162
160,140,134,113,41,160
154,135,128,112,43,154
131,114,108,112,45,131
136,118,110,111,49,136
129,113,105,110,47,129
4,4,3,90,64,4
24,20,18,110,64,24
25,22,19,105,61,25
26,23,21,108,49,26
28,25,22,105,55,28
29,27,23,100,53,29
30,28,24,100,51,30
54,50,43,101,52,54
164,149,128,102,56,164
168,155,136,102,49,168
173,162,141,100,47,173
179,170,144,98,50,179
185,175,146,98,54,185
189,180,150,97,53,189
187,183,153,94,46,187
184,182,156,92,39,184
187,189,157,88,43,189
189,190,157,89,44,190
189,191,157,88,45,191
188,188,159,90,39,188
190,184,160,96,40,190
184,176,153,98,43,184
158,150,130,99,45,158
158,146,130,103,45,158
131,117,107,108,47,131
25,22,20,108,51,25
141,122,110,108,56,141
139,124,111,106,51,139
144,124,112,109,57,144
